Title,ISSN,Price,Type,PDF.downloads,downloads.2012,downloads.2013,downloads.2014,downloads.2015,downloads.2016,downloads.2017,downloads.2018,downloads.max,median.snip,editors,subj.BUS,subj.HUM,subj.LAW,subj.MED,subj.NSEG,subj.SSDG,Published.2012,Published.2013,Published.2014,Published.2015,Published.2016,Published.2017,Published.2018,Published.mean,reviewers
Allergology International,13238930,0,Open,292,0,0,0,77,146,204,225,225,1.208,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Alter,18750672,334,Freedom,65,8,3,23,2,0,11,116,116,0.638,FALSE,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Alzheimer's & Dementia,15525260,753,Freedom,4077,765,801,901,1038,1653,2173,2692,2692,3.137,FALSE,NA,NA,NA,1,NA,NA,7,4,8,6,4,11,7,6.714285714285714,FALSE
American Heart Journal,00028703,1402,Subscribed,17131,5465,6110,7286,5408,5525,5420,5536,7286,1.682,FALSE,NA,NA,NA,1,NA,NA,97,114,121,123,101,98,137,113,TRUE
American Journal of Infection Control,01966553,1007,Subscribed,3919,643,972,952,911,2012,1855,2352,2352,1.286,FALSE,NA,NA,NA,1,1,NA,3,4,2,1,4,1,1,2.2857142857142856,FALSE
American Journal of Kidney Diseases,02726386,1380.16,Subscribed,7465,1425,1928,2897,2837,2854,3017,3342,3342,1.949,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,9,1.2857142857142858,TRUE
American Journal of Obstetrics and Gynecology,00029378,1736,Subscribed,14274,2984,4178,4370,4589,5905,5908,5577,5908,1.931,FALSE,NA,NA,NA,1,NA,NA,6,9,7,8,9,5,12,8,FALSE
American Journal of Ophthalmology,00029394,1342,Subscribed,8080,2491,2659,3155,2640,2783,2217,2511,3155,2.344,FALSE,NA,NA,NA,1,NA,NA,18,14,9,12,7,8,18,12.285714285714286,FALSE
American Journal of Ophthalmology Case Reports,24519936,0,Open,71,0,0,0,0,23,100,105,105,NA,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,3,1,8,1.7142857142857142,FALSE
American Journal of Orthodontics and Dentofacial Orthopedics,08895406,950,Freedom,509,167,150,235,118,201,160,124,235,1.596,FALSE,NA,NA,NA,1,NA,NA,0,1,0,0,0,0,0,0.14285714285714285,FALSE
American Journal of Otolaryngology,01960709,873,Subscribed,836,222,309,334,293,308,197,350,350,0.97,FALSE,NA,NA,NA,1,NA,NA,2,1,2,4,1,1,1,1.7142857142857142,FALSE
American Journal of Preventive Medicine,07493797,1319,Subscribed,7871,2867,2765,2804,2949,3297,3290,3788,3788,2.073,FALSE,NA,NA,NA,1,NA,NA,5,5,9,3,2,7,7,5.428571428571429,FALSE
Ampersand,22150390,0,Open,1,0,0,0,1,1,5,5,5,NA,FALSE,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Anaerobe,10759964,1096,Freedom,491,131,193,212,121,250,300,235,300,1.002,FALSE,NA,NA,NA,1,1,NA,0,0,0,0,0,1,0,0.14285714285714285,FALSE
Anaesthesia & Intensive Care Medicine,14720299,1297,Freedom,805,243,141,364,414,343,321,281,414,0.179,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Anaesthesia Critical Care & Pain Medicine,23525568,903,Freedom,140,0,0,0,19,110,84,132,132,0.421,FALSE,NA,NA,NA,1,NA,NA,0,0,0,0,0,0,2,0.2857142857142857,FALSE
Anales de Pediatría (English Edition),23412879,0,Open,9,0,0,0,2,7,6,8,8,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Analytic Methods in Accident Research,22136657,468,Freedom,4,0,0,2,3,0,1,6,6,3.0385,FALSE,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Analytica Chimica Acta,00032670,15051,Subscribed,4914,1816,2124,1430,1011,1517,936,1330,2124,1.542,FALSE,NA,NA,NA,NA,1,NA,0,3,0,0,0,0,0,0.42857142857142855,TRUE
Analytical Biochemistry,00032697,9076.06,Subscribed,11255,3148,3637,2751,2556,2978,2316,2224,3637,0.848,FALSE,NA,NA,NA,NA,1,NA,0,3,0,1,0,2,0,0.8571428571428571,FALSE
