Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
Future Internet,,NA,NA,NA,2.345,NA,NA,NA
Future of Children,10548289,NA,3.548,2.326,2.464,2.177,NA,3.316
Fuzzy Optimization and Decision Making,15684539,2.287,2.364,NA,NA,NA,NA,NA
Fuzzy Sets and Systems,01650114,2.349,NA,2.194,NA,NA,NA,NA
Games and Culture,15554120,2.194,NA,NA,NA,NA,NA,NA
Gastric Cancer,14363291,2.353,2.589,3.042,NA,NA,NA,NA
Gastroenterology,00165085,2.917,3.124,3.239,3.509,3.411,3.669,3.884
Gastrointestinal Tumors,22963774,NA,NA,NA,NA,NA,3.474,NA
GEMA Online Journal of Language Studies,16758021,2.915,NA,NA,NA,NA,NA,NA
Gender and Society,08912432,NA,2.452,2.319,2.393,2.978,3.511,2.414
Genes and Development,08909369,2.446,2.508,2.414,2.268,NA,NA,NA
Genetic Engineering and Biotechnology Journal,,NA,NA,3.188,NA,NA,NA,NA
Genetic Programming and Evolvable Machines,13892576,2.401,3.052,NA,NA,NA,NA,NA
Genetics in Medicine,10983600,NA,NA,2.47,2.19,2.529,2.752,3.488
Genome Biology,14747596,2.386,2.392,2.236,2.556,2.88,3.157,2.536
Genome Research,10889051,3.064,2.868,2.922,2.915,2.398,2.402,2.462
Geochemical Perspectives,22237755,NA,4.625,3.529,3.857,3.221,2.32,NA
Geochemical Perspectives Letters,2410339X,NA,NA,NA,NA,NA,2.234,NA
GeoInformatica,13846175,NA,NA,2.265,NA,2.189,NA,NA
Geometric and Functional Analysis,1016443X,2.172,NA,2.672,2.109,NA,2.436,2.345
Geophysics,00168033,NA,NA,NA,2.413,2.604,NA,NA
"Geopolitics, History, and International Relations",19489145,NA,NA,NA,NA,NA,NA,2.5
"Geoscientific Instrumentation, Methods and Data Systems",21930856,NA,NA,7.092,3.342,NA,NA,NA
Geotechnique,00168505,2.74,2.955,2.712,2.624,2.93,2.44,2.785
Geotextiles and Geomembranes,02661144,2.984,2.841,2.699,2.378,2.442,2.317,2.474
Geothermal Energy Science,21954771,NA,NA,NA,NA,NA,NA,2.438
Geothermics,03756505,NA,2.515,2.942,NA,NA,NA,NA
German Historical Institute London Bulletin,02698552,2.73,NA,NA,NA,NA,NA,NA
German Journal of Psychiatry,14331055,NA,NA,NA,NA,NA,5.941,NA
Gerontechnology,15691101,NA,NA,2.868,NA,NA,NA,NA
GESTA-International Center of Medieval Art,0016920X,2.865,NA,NA,NA,2.609,NA,NA
Gesture,15681475,NA,NA,NA,NA,NA,NA,2.214
GigaScience,,NA,NA,2.458,NA,NA,NA,NA
Global Advances In Health and Medicine,2164957X,NA,NA,NA,NA,NA,NA,2.278
Global Change Biology,13541013,2.406,2.654,2.659,2.551,2.619,2.882,2.614
Global Ecology and Biogeography,1466822X,2.237,2.525,2.383,NA,NA,NA,NA
Global Environmental Change,09593780,2.961,3.318,2.852,2.652,2.832,2.973,3.019
Global Food Security,22119124,NA,NA,2.347,NA,NA,2.271,NA
Global Networks,14702266,2.497,NA,NA,NA,NA,NA,NA
Global Policy,17585880,2.513,NA,NA,NA,NA,NA,NA
GLQ,10642684,NA,2.279,NA,NA,NA,NA,2.626
Gondwana Research,1342937X,NA,2.346,2.59,2.591,2.689,2.21,2.401
Governance,09521895,NA,NA,2.815,2.949,2.484,2.791,2.425
Government Information Quarterly,0740624X,2.733,2.998,2.966,2.22,2.738,2.157,2.417
GPS Solutions,10805370,2.277,3.073,3.742,2.868,3.354,3.402,2.561
Grotiana,01673831,NA,2.294,NA,NA,NA,NA,NA
Group and Organization Management,10596011,2.235,NA,NA,NA,NA,NA,NA
"Groups, Complexity, Cryptology",18671144,NA,NA,NA,2.098,NA,NA,NA
Gut,00175749,2.751,3.457,3.838,4.044,4.045,3.99,3.855
Habitat International,01973975,NA,NA,2.22,NA,NA,NA,NA
HAHR - Hispanic American Historical Review,00182168,NA,NA,2.325,NA,NA,NA,3.044
Harvard Business Review,00178012,12.013,NA,NA,NA,NA,NA,NA
Harvard Civil Rights-Civil Liberties Law Review,00178039,NA,NA,NA,2.158,NA,NA,NA
Harvard Educational Review,00178055,NA,NA,NA,NA,3.118,6.503,5.363
Harvard International Law Journal,00178063,2.408,2.434,NA,2.339,3.055,2.903,2.361
Harvard Law Review,0017811X,2.498,2.726,NA,NA,NA,NA,NA
Harvard Studies in Classical Philology,00730688,4.302,NA,NA,NA,NA,NA,NA
HAU: Journal of Ethnographic Theory,25751433,NA,NA,NA,NA,NA,2.419,NA
Health Affairs,02782715,3.18,3.2,2.99,3.004,2.951,2.467,2.449
Health Information Science and Systems,,NA,NA,NA,NA,NA,NA,2.835
Health Policy and Planning,02681080,2.217,NA,NA,NA,NA,NA,NA
Health Psychology and Behavioral Medicine,,NA,NA,NA,NA,NA,NA,3.651
Health Psychology Review,17437199,NA,2.506,3.401,2.514,2.763,3.351,3.999
Health Reports,08406529,NA,2.43,NA,NA,NA,NA,NA
Health Technology Assessment,13665278,2.518,2.8,2.49,2.351,NA,NA,NA
Hepatology,02709139,2.867,2.699,2.611,2.63,2.749,2.736,2.762
Heritage and Society,2159032X,NA,NA,NA,NA,2.514,2.438,NA
Higher Education,00181560,NA,NA,NA,2.159,NA,2.255,2.388
Hispania,00182133,NA,3.094,NA,NA,NA,NA,NA
Historical Records of Australian Science,07273061,NA,NA,2.661,NA,NA,NA,NA
History and Theory,00182656,NA,NA,2.655,2.495,NA,2.319,NA
History of Geo- and Space Sciences,21905010,3.0,3.281,NA,NA,NA,NA,NA
History Workshop Journal,13633554,NA,NA,NA,NA,NA,2.475,NA
HUGO Journal,18776558,NA,NA,NA,NA,2.692,NA,3.583
Human Communication Research,03603989,NA,2.399,NA,2.092,NA,NA,NA
Human Factors,00187208,NA,NA,2.484,NA,NA,2.252,NA
Human IT,14021501,NA,NA,2.37,NA,NA,NA,NA
Human Relations,00187267,NA,NA,NA,2.509,NA,NA,NA
Human Reproduction,02681161,NA,NA,NA,NA,2.129,NA,NA
Human Reproduction Update,13554786,3.917,4.304,4.537,3.841,4.618,4.695,5.044
Human Resource Management Journal,09545395,NA,NA,2.424,NA,NA,NA,NA
Human Resource Management Review,10534822,2.671,2.948,2.381,2.156,2.212,2.144,NA
Human Rights Law Review,14617781,NA,NA,NA,NA,NA,2.31,NA
Human-centric Computing and Information Sciences,,12.667,15.81,8.165,3.91,3.461,2.549,2.661
Hydrometallurgy,0304386X,2.369,2.893,2.232,NA,NA,NA,NA
Hypertension,0194911X,2.385,2.3,2.228,NA,NA,NA,NA
I Tatti Studies,03935949,NA,NA,NA,3.119,NA,NA,NA
IEEE Access,21693536,NA,NA,NA,3.184,NA,NA,NA
IEEE Antennas and Propagation Magazine,10459243,NA,NA,NA,NA,NA,NA,2.412
IEEE Circuits and Systems Magazine,1531636X,2.416,3.32,NA,NA,NA,2.248,2.286
IEEE Communications Magazine,01636804,5.384,5.165,4.609,5.331,4.768,5.734,4.681
IEEE Communications Surveys and Tutorials,1553877X,10.016,8.534,8.733,9.865,11.505,11.814,13.026
IEEE Computational Intelligence Magazine,1556603X,3.924,2.889,2.307,2.166,3.236,3.527,3.002
IEEE Control Systems,1066033X,3.793,3.407,3.679,2.185,2.232,3.223,3.04
IEEE Design and Test,21682356,2.294,NA,NA,NA,NA,NA,NA
IEEE Electrical Insulation Magazine,08837554,2.365,2.405,NA,2.105,NA,NA,NA
IEEE Geoscience and Remote Sensing Letters,1545598X,NA,2.219,2.217,2.097,NA,NA,NA
IEEE Industrial Electronics Magazine,19324529,3.677,4.832,2.606,2.815,4.046,3.645,4.104
IEEE Intelligent Systems,15411672,NA,2.197,NA,2.19,2.118,NA,2.137
IEEE Intelligent Transportation Systems Magazine,19391390,NA,NA,NA,2.096,NA,2.528,NA
IEEE Internet Computing,10897801,2.766,2.698,2.362,NA,NA,NA,NA
IEEE Internet of Things Journal,23274662,NA,NA,NA,4.264,5.896,4.202,3.874
IEEE Journal of Biomedical and Health Informatics,21682194,2.235,2.368,2.356,2.303,2.246,2.138,2.4
IEEE Journal of Emerging and Selected Topics in Power Electronics,21686777,NA,NA,2.202,2.791,2.316,2.157,2.524
IEEE Journal of Oceanic Engineering,03649059,NA,NA,NA,2.277,NA,NA,NA
IEEE Journal of Photovoltaics,21563381,3.1,3.395,NA,NA,NA,NA,NA
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,19391404,2.19,NA,2.369,NA,NA,NA,NA
IEEE Journal of Selected Topics in Quantum Electronics,1077260X,2.555,2.335,NA,NA,NA,NA,NA
IEEE Journal of Solid-State Circuits,00189200,3.395,3.507,3.121,2.858,2.888,2.696,2.879
IEEE Journal of the Electron Devices Society,21686734,NA,NA,NA,2.192,2.145,NA,NA
IEEE Journal on Selected Areas in Communications,07338716,3.588,3.783,2.93,3.515,3.39,3.47,3.311
IEEE Journal on Selected Topics in Signal Processing,19324553,3.753,3.881,3.087,2.47,2.631,2.989,2.516
IEEE Micro,02721732,2.359,3.007,2.609,NA,NA,NA,NA
IEEE Multimedia,1070986X,NA,NA,2.738,2.186,NA,NA,NA
IEEE Network,08908044,3.445,3.992,3.321,2.889,3.223,3.182,3.24
IEEE Pervasive Computing,15361268,2.918,3.021,2.628,NA,NA,NA,NA
IEEE Power and Energy Magazine,15407977,3.108,2.44,NA,2.123,NA,NA,NA
IEEE Power and Energy Technology Systems Journal,23327707,NA,NA,NA,NA,NA,3.99,NA
IEEE Reviews in Biomedical Engineering,19373333,2.516,3.784,2.508,2.606,3.733,3.666,2.746
IEEE Robotics and Automation Letters,,NA,NA,NA,NA,NA,2.852,2.265
IEEE Robotics and Automation Magazine,10709932,2.739,3.495,3.48,4.04,NA,2.18,NA
IEEE Signal Processing Magazine,10535888,3.969,4.694,5.045,5.819,5.33,4.967,4.351
IEEE Software,07407459,NA,NA,NA,NA,NA,NA,2.272
IEEE Systems Journal,19328184,NA,NA,2.404,2.277,NA,NA,2.374
IEEE Transactions on Advanced Packaging,15213323,2.196,NA,NA,NA,NA,NA,NA
IEEE Transactions on Aerospace and Electronic Systems,00189251,2.529,2.525,2.717,2.626,NA,NA,NA
IEEE Transactions on Affective Computing,19493045,4.439,3.408,3.219,3.447,2.884,3.253,3.219
IEEE Transactions on Antennas and Propagation,0018926X,2.269,2.203,2.556,2.421,NA,2.285,2.594
"IEEE Transactions on Audio, Speech and Language Processing",15587916,2.657,3.259,2.919,2.399,3.422,4.093,4.662
IEEE Transactions on Automatic Control,00189286,3.192,3.033,3.257,3.218,2.705,3.046,2.626
IEEE Transactions on Automation Science and Engineering,15455955,2.192,2.531,2.223,2.202,2.141,2.335,2.438
IEEE Transactions on Big Data,,NA,NA,NA,NA,NA,4.521,8.137
IEEE Transactions on Biomedical Circuits and Systems,19324545,2.188,2.448,NA,NA,NA,NA,NA
IEEE Transactions on Biomedical Engineering,00189294,NA,NA,NA,NA,NA,NA,2.239
IEEE Transactions on Broadcasting,00189316,2.605,2.52,2.744,NA,2.282,2.33,2.282
IEEE Transactions on Circuits and Systems for Video Technology,10518215,2.892,2.987,3.223,3.229,2.641,2.692,2.743
IEEE Transactions on Circuits and Systems I: Regular Papers,15498328,NA,2.239,2.272,2.104,NA,NA,2.177
IEEE Transactions on Cloud Computing,21687161,NA,NA,2.708,3.728,3.602,3.384,2.63
IEEE Transactions on Cognitive and Developmental Systems,23798920,2.368,NA,NA,NA,NA,NA,NA
IEEE Transactions on Cognitive Communications and Networking,,NA,NA,NA,NA,NA,2.184,4.602
IEEE Transactions on Communications,00961965,NA,2.286,NA,NA,NA,NA,2.261
IEEE Transactions on Components and Packaging Technologies,15213331,NA,2.792,NA,NA,NA,NA,NA
IEEE Transactions on Computational Imaging,,NA,NA,NA,NA,NA,NA,3.18
IEEE Transactions on Computational Intelligence and AI in Games,1943068X,2.598,2.507,3.26,2.714,NA,NA,NA
IEEE Transactions on Computers,00189340,2.182,2.278,2.352,2.369,2.325,2.161,2.291
IEEE Transactions on Control of Network Systems,23255870,NA,NA,NA,2.589,2.702,3.289,2.241
IEEE Transactions on Control Systems Technology,10636536,2.971,3.403,2.989,2.789,2.676,2.765,2.699
IEEE Transactions on Cybernetics,21682267,NA,NA,2.87,3.294,3.282,3.341,3.536
IEEE Transactions on Dependable and Secure Computing,15455971,2.879,2.638,3.277,3.79,2.49,2.514,3.03
IEEE Transactions on Education,00189359,2.153,NA,NA,2.594,2.471,NA,2.55
IEEE Transactions on Electromagnetic Compatibility,00189375,2.276,2.496,2.188,NA,NA,NA,NA
IEEE Transactions on Emerging Topics in Computing,21686750,NA,NA,NA,3.079,2.566,2.146,NA
IEEE Transactions on Energy Conversion,08858969,3.137,3.163,2.767,2.615,2.265,2.148,2.187
IEEE Transactions on Evolutionary Computation,1089778X,6.499,5.334,5.408,4.366,5.212,4.782,4.854
IEEE Transactions on Fuzzy Systems,10636706,3.32,4.313,4.846,3.799,3.205,3.312,3.314
IEEE Transactions on Geoscience and Remote Sensing,01962892,3.809,3.252,3.469,3.167,3.209,2.856,2.743
IEEE Transactions on Haptics,19391412,2.322,2.328,2.247,NA,NA,NA,NA
IEEE Transactions on Human-Machine Systems,21682291,3.567,3.097,3.04,2.674,NA,2.209,2.168
IEEE Transactions on Image Processing,10577149,4.45,4.246,4.104,3.691,3.309,3.094,3.838
IEEE Transactions on Industrial Electronics,02780046,4.282,4.976,4.549,4.077,3.68,3.305,3.135
IEEE Transactions on Industrial Informatics,15513203,3.033,4.39,3.851,3.267,3.432,3.228,2.872
IEEE Transactions on Industry Applications,00939994,2.463,2.515,2.327,2.103,NA,NA,NA
IEEE Transactions on Information Forensics and Security,15566013,2.737,3.061,3.466,3.543,3.155,3.239,3.634
IEEE Transactions on Information Theory,00189448,2.835,3.039,2.448,2.14,NA,2.25,2.227
IEEE Transactions on Intelligent Transportation Systems,15249050,3.334,3.485,3.194,2.918,2.674,2.748,3.497
IEEE Transactions on Knowledge and Data Engineering,10414347,4.046,4.055,3.98,3.987,3.554,2.875,2.954
IEEE Transactions on Learning Technologies,19391382,NA,3.207,NA,NA,2.16,2.416,NA
IEEE Transactions on Medical Imaging,02780062,3.215,3.215,2.645,2.614,2.38,2.86,3.349
IEEE Transactions on Microwave Theory and Techniques,00189480,NA,2.44,2.262,NA,NA,NA,2.138
IEEE Transactions on Mobile Computing,15361233,3.425,3.829,3.495,3.188,2.835,2.422,2.324
IEEE Transactions on Multimedia,15209210,2.573,2.596,2.582,2.417,2.47,2.283,2.951
IEEE Transactions on Network and Service Management,19324537,NA,NA,NA,2.335,2.271,NA,2.438
IEEE Transactions on Neural Networks and Learning Systems,2162237X,2.994,3.576,3.246,2.927,2.77,3.231,4.062
IEEE Transactions on Neural Systems and Rehabilitation Engineering,15344320,NA,2.242,NA,NA,NA,NA,NA
IEEE Transactions on Parallel and Distributed Systems,10459219,2.986,3.14,3.618,3.343,3.33,2.823,2.468
IEEE Transactions on Pattern Analysis and Machine Intelligence,01628828,9.059,8.077,7.658,7.399,6.364,6.19,9.231
IEEE Transactions on Power Delivery,08858977,2.563,2.746,2.582,2.57,2.519,2.247,2.385
IEEE Transactions on Power Electronics,08858993,3.837,4.316,4.165,3.803,3.589,3.133,3.191
IEEE Transactions on Power Systems,08858950,3.372,4.215,3.461,3.374,3.597,2.687,2.888
IEEE Transactions on Reliability,00189529,2.615,2.258,2.61,2.541,NA,NA,NA
IEEE Transactions on Robotics,15523098,3.824,3.599,3.42,2.772,2.495,3.191,3.961
IEEE Transactions on Services Computing,19391374,5.181,4.264,3.901,4.011,2.682,2.583,3.073
IEEE Transactions on Signal Processing,1053587X,3.362,3.176,2.798,2.611,2.533,2.593,2.55
IEEE Transactions on Smart Grid,19493053,6.331,4.626,3.632,3.29,2.82,3.016,3.511
IEEE Transactions on Software Engineering,00985589,4.523,4.539,3.748,3.836,3.545,3.175,3.923
IEEE Transactions on Sustainable Energy,19493029,3.73,3.689,3.892,3.184,2.952,2.468,2.869
"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics",10834419,3.485,4.54,6.274,7.271,NA,NA,NA
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",21682216,2.744,2.411,2.386,2.116,2.16,2.333,2.614
IEEE Transactions on Terahertz Science and Technology,2156342X,4.358,4.159,2.686,NA,NA,NA,NA
IEEE Transactions on Transportation Electrification,,NA,NA,NA,NA,NA,NA,2.117
IEEE Transactions on Vehicular Technology,00189545,2.663,2.843,2.488,2.158,NA,NA,2.256
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10638210,NA,NA,NA,2.277,NA,NA,NA
IEEE Transactions on Visualization and Computer Graphics,10772626,2.428,2.546,2.406,NA,2.33,2.247,2.407
IEEE Transactions on Wireless Communications,15361276,2.837,2.757,2.243,2.463,2.162,2.451,2.5
IEEE Vehicular Technology Magazine,15566072,NA,NA,NA,NA,NA,2.728,3.036
IEEE Wireless Communications,15361284,3.884,4.897,3.443,3.92,3.736,3.636,4.039
IEEE/ACM Transactions on Audio Speech and Language Processing,23299290,NA,NA,NA,NA,2.949,2.138,2.382
IEEE/ACM Transactions on Networking,10636692,3.071,3.085,2.622,2.859,2.416,NA,2.161
IEEE/ASME Transactions on Mechatronics,10834435,3.118,3.421,3.418,3.161,2.536,2.429,2.442
IET Renewable Power Generation,17521416,2.721,2.773,2.252,NA,NA,NA,NA
Image and Vision Computing,02628856,3.395,3.234,NA,NA,NA,NA,NA
Imaging in Medicine,17555191,NA,NA,NA,NA,NA,NA,2.25
IMF Economic Review,20414161,2.633,2.655,2.304,2.506,2.407,NA,NA
Immunity,10747613,3.997,3.944,4.003,4.547,4.68,4.161,3.851
Immunological Reviews,01052896,3.111,3.019,2.655,2.331,NA,NA,2.282
ImmunoTargets and Therapy,,NA,NA,NA,NA,NA,NA,3.223
Implementation Science,17485908,NA,NA,NA,NA,NA,NA,2.352
Indian Journal of Science and Technology,09746846,NA,NA,NA,NA,2.32,NA,NA
Indonesian Journal of Science and Technology,25281410,NA,NA,NA,NA,NA,3.109,5.856
Indoor Air,09056947,NA,2.342,NA,NA,NA,NA,NA
Infection and Drug Resistance,11786973,NA,NA,NA,NA,NA,2.145,NA
Infection Ecology and Epidemiology,,NA,NA,NA,NA,2.873,NA,NA
Infectious Disease Clinics of North America,08915520,NA,NA,NA,NA,NA,2.225,2.242
Influenza Research and Treatment,20901380,NA,NA,NA,NA,NA,3.555,NA
Informatics in Education,16485831,NA,NA,NA,NA,NA,2.257,NA
Informatics in Medicine Unlocked,,NA,NA,NA,NA,2.435,NA,NA
Information and Management,03787206,2.824,2.449,2.266,2.152,2.362,2.406,2.351
Information and Organization,14717727,NA,2.288,NA,NA,2.215,NA,NA
Information and Software Technology,09505849,2.762,2.688,2.262,2.617,2.422,2.615,2.837
Information Communication and Society,1369118X,NA,NA,2.251,2.803,NA,NA,2.513
Information Fusion,15662535,4.007,4.09,4.087,3.653,3.422,3.433,4.188
Information Processing and Management,03064573,NA,NA,NA,NA,NA,2.666,2.895
Information Retrieval,13864564,2.309,2.44,NA,NA,2.148,NA,NA
Information Sciences,00200255,3.089,3.335,3.198,2.475,2.487,2.257,2.636
Information Systems,03064379,2.866,3.726,2.788,2.449,2.356,2.212,2.444
Information Systems Journal,13501917,2.273,2.369,NA,2.18,2.263,2.519,2.332
Information Systems Research,10477047,2.828,NA,NA,2.459,2.406,NA,NA
Injury Epidemiology,,NA,NA,NA,NA,3.261,NA,NA
Inorganics,,NA,NA,2.657,NA,NA,NA,NA
Intensive Care Medicine,03424642,NA,2.221,2.59,2.8,2.642,2.384,2.524
Interacting with Computers,09535438,NA,2.364,NA,NA,NA,NA,NA
Interest Groups and Advocacy,20477414,NA,NA,NA,2.395,NA,NA,NA
International Affairs,00205850,NA,NA,2.343,2.825,2.403,2.343,2.418
International Economic Review,00206598,NA,NA,NA,NA,NA,NA,2.293
International Electronic Journal of Mathematics Education,13063030,NA,NA,NA,NA,NA,2.278,NA
International Journal of Adhesion and Adhesives,01437496,2.277,NA,NA,NA,NA,NA,NA
International Journal of Africa Nursing Sciences,22141391,NA,NA,NA,2.235,NA,NA,NA
International Journal of Agent-Oriented Software Engineering,17461375,NA,2.999,NA,NA,NA,NA,NA
International Journal of Applied Cryptography,17530563,NA,NA,2.426,NA,NA,2.455,NA
International Journal of Applied Earth Observation and Geoinformation,15698432,NA,NA,NA,NA,NA,NA,2.209
International Journal of Applied Mathematics and Statistics,09731377,NA,NA,2.229,NA,NA,NA,NA
International Journal of Approximate Reasoning,0888613X,NA,NA,2.819,NA,NA,NA,NA
International Journal of Artificial Intelligence in Education,15604292,NA,2.53,NA,NA,NA,NA,2.467
International Journal of Behavioral Nutrition and Physical Activity,14795868,NA,NA,2.196,NA,NA,2.158,2.298
International Journal of Bio-Inspired Computation,17580366,3.719,2.458,2.747,NA,NA,NA,NA
International Journal of Cancer,00207136,NA,NA,NA,NA,NA,2.217,2.394
International Journal of Child-Computer Interaction,22128689,NA,NA,2.306,NA,NA,NA,NA
International Journal of Coal Geology,01665162,NA,2.41,2.557,2.329,NA,NA,NA
International Journal of Coal Science and Technology,20958293,NA,NA,NA,NA,3.575,NA,NA
International Journal of Communication,19328036,2.515,NA,NA,NA,NA,NA,NA
International Journal of Communication Systems,10745351,NA,NA,2.769,NA,NA,NA,NA
International Journal of Computer Science Issues,16940814,NA,5.368,NA,NA,NA,NA,NA
International Journal of Computer Vision,09205691,5.135,4.364,4.155,3.83,4.969,5.935,7.965
International Journal of Computer-Supported Collaborative Learning,15561607,2.289,NA,2.217,NA,NA,NA,NA
International Journal of Concrete Structures and Materials,19760485,NA,NA,2.331,NA,NA,NA,NA
International Journal of Critical Infrastructure Protection,18745482,NA,NA,NA,NA,NA,2.457,2.218
International Journal of Cyber Criminology,09742891,NA,NA,NA,NA,NA,2.321,NA
International Journal of Database Theory and Application,20054270,NA,NA,NA,2.52,3.988,NA,NA
International Journal of Doctoral Studies,15568881,NA,NA,NA,2.293,NA,NA,NA
International Journal of Electrical Power and Energy Systems,01420615,2.752,2.728,2.291,NA,NA,NA,NA
International Journal of Environmental and Science Education,13063065,NA,NA,NA,NA,2.918,2.477,NA
International Journal of Epidemiology,03005771,2.593,2.73,3.018,3.0,2.86,2.757,2.489
International Journal of Fatigue,01421123,2.878,2.575,2.83,2.489,2.577,NA,2.412
International Journal of Forecasting,01692070,NA,NA,NA,NA,2.222,NA,NA
International Journal of Geomechanics,15323641,2.34,2.442,NA,NA,2.213,NA,NA
International Journal of Greenhouse Gas Control,17505836,NA,2.965,2.408,NA,NA,NA,NA
International Journal of Heat and Technology,03928764,NA,NA,NA,NA,2.268,NA,NA
International Journal of Hepatology,20903448,NA,4.078,4.774,NA,NA,NA,NA
International Journal of Human Computer Studies,10715819,NA,2.286,NA,NA,NA,NA,NA
International Journal of Hybrid Information Technology,17389968,NA,NA,NA,3.84,NA,NA,NA
International Journal of Image and Data Fusion,19479832,3.34,NA,NA,NA,NA,NA,NA
International Journal of Impact Engineering,0734743X,3.626,3.599,3.553,2.923,2.205,2.892,2.397
International Journal of Information Management,02684012,2.427,3.177,2.497,2.762,3.13,2.726,3.225
International Journal of Information Systems and Project Management,21827796,NA,NA,3.018,NA,NA,NA,NA
International Journal of Lean Six Sigma,20404166,2.963,NA,NA,NA,NA,NA,NA
International Journal of Lexicography,09503846,NA,NA,NA,NA,NA,2.253,NA
International Journal of Life Sciences Biotechnology and Pharma Research,,NA,NA,NA,NA,NA,NA,3.075
International Journal of Machine Learning and Cybernetics,18688071,3.846,4.268,3.132,NA,NA,NA,NA
International Journal of Machine Tools and Manufacture,08906955,4.942,4.879,4.742,3.493,3.811,3.824,4.256
International Journal of Management Reviews,14608545,3.818,4.73,4.013,4.711,3.761,3.708,3.76
International Journal of Marketing Semiotics,,NA,NA,2.54,NA,NA,NA,NA
International Journal of Mechanical and Materials Engineering,18230334,NA,NA,NA,NA,NA,NA,3.481
International Journal of Mechanical Sciences,00207403,NA,2.331,NA,NA,NA,NA,NA
International journal of medical education,,NA,NA,NA,4.859,NA,NA,2.167
International Journal of Medical Informatics,13865056,2.187,2.264,NA,2.121,NA,NA,NA
International Journal of Medicinal and Aromatic Plants,22494340,NA,2.257,2.864,NA,NA,NA,NA
International Journal of Mineral Processing,03017516,NA,2.242,NA,NA,NA,NA,NA
International Journal of Multimedia Information Retrieval,21926611,NA,NA,2.776,NA,NA,NA,NA
International Journal of Multiphase Flow,03019322,2.167,2.533,2.468,2.264,2.184,NA,NA
International Journal of Navigation and Observation,16875990,NA,2.724,NA,2.449,NA,NA,NA
International Journal of Neural Systems,01290657,NA,NA,2.34,NA,NA,NA,NA
International Journal of Nursing Studies,00207489,NA,NA,NA,2.267,2.418,2.182,2.31
International Journal of Operations and Production Management,01443577,NA,NA,NA,NA,2.105,NA,2.275
International Journal of Pediatric Endocrinology,16879848,NA,NA,NA,2.95,NA,NA,NA
International Journal of Pharmaceutical Investigation,2230973X,NA,NA,NA,NA,NA,3.263,3.916
International Journal of Pharmaceutical Sciences and Research,23205148,NA,NA,NA,NA,NA,NA,4.286
International Journal of Physical Distribution and Logistics Management,09600035,NA,NA,NA,NA,NA,NA,2.109
International Journal of Plasticity,07496419,2.928,3.424,3.531,3.062,3.017,2.736,2.759
International Journal of Practical Theology,14306921,NA,NA,NA,NA,NA,2.91,NA
International Journal of Precision Engineering and Manufacturing,12298557,2.165,NA,NA,NA,NA,NA,NA
International Journal of Precision Engineering and Manufacturing - Green Technology,22886206,NA,NA,NA,2.778,2.15,NA,NA
International Journal of Press/Politics,19401612,NA,2.539,2.5,2.226,2.331,NA,NA
International Journal of Pressure Vessels and Piping,03080161,NA,NA,NA,2.28,NA,NA,NA
International Journal of Production Economics,09255273,2.201,2.664,2.597,2.271,2.217,2.423,2.486
International Journal of Project Management,02637863,2.492,2.737,2.868,2.811,2.849,2.769,2.805
International Journal of Rail Transportation,23248378,NA,NA,2.955,2.21,2.34,NA,NA
International Journal of Refractory Metals and Hard Materials,09580611,2.29,2.201,NA,NA,NA,NA,NA
International Journal of Robotics Research,02783649,3.458,3.399,3.972,4.089,3.923,3.393,3.658
International Journal of Rock Mechanics and Minings Sciences,13651609,2.788,2.529,2.726,2.15,2.195,NA,2.519
International Journal of Simulation Modelling,17264529,NA,NA,NA,2.283,NA,NA,NA
International Journal of Social Robotics,18754791,NA,NA,NA,2.226,NA,NA,NA
International Journal of Solids and Structures,00207683,2.219,NA,NA,NA,NA,NA,NA
International Journal of Sustainability in Higher Education,14676370,NA,2.359,NA,NA,NA,NA,NA
International Journal of Sustainable Built Environment,22126090,NA,NA,NA,NA,NA,2.184,2.682
International Journal of Sustainable Transportation,15568318,NA,NA,NA,2.253,NA,NA,NA
International Journal of Thermal Sciences,12900729,NA,2.254,2.204,NA,NA,NA,NA
International Journal of Transgenderism,14344599,NA,NA,2.239,NA,NA,NA,NA
International Journal of Urban and Regional Research,03091317,NA,NA,2.333,2.52,2.202,2.292,NA
International Journal of Veterinary Science and Medicine,23144599,NA,NA,NA,NA,3.565,4.687,NA
International Journal on Digital Libraries,14325012,2.631,NA,NA,NA,NA,NA,2.128
International maritime health,16419251,NA,NA,NA,NA,2.174,NA,NA
International Materials Reviews,09506608,5.995,6.969,5.85,6.021,4.655,5.338,6.544
International Migration Review,01979183,NA,NA,NA,NA,2.316,2.445,NA
International Organization,00208183,3.556,2.788,3.792,2.82,2.718,3.76,3.666
International Perspectives on Sexual and Reproductive Health,19440391,NA,NA,NA,NA,NA,NA,2.428
International Review of Management and Marketing,21464405,NA,NA,NA,NA,3.172,2.419,NA
International Review of Research in Open and Distance Learning,14923831,NA,NA,NA,NA,NA,2.203,NA
International Review of Sport and Exercise Psychology,1750984X,NA,NA,2.389,2.365,2.593,NA,2.218
