Journal_title,ISSN,2012,2013,2014,2015,2016,2017,2018
Bioinformatics,13674803,NA,NA,NA,2.151,2.329,2.528,NA
Biological Psychiatry,00063223,NA,2.377,2.329,2.228,2.378,2.435,2.477
Biological Reviews,14647931,3.739,4.147,3.853,3.781,3.504,4.188,3.647
Biologically Inspired Cognitive Architectures,2212683X,NA,2.261,NA,NA,NA,NA,NA
Biology of Mood and Anxiety Disorders,,NA,3.123,3.889,NA,NA,NA,NA
Biomaterials,01429612,2.161,NA,NA,NA,NA,NA,NA
Biomedical Imaging and Intervention Journal,18235530,NA,NA,NA,NA,NA,3.738,NA
Bioprinting,24058866,NA,NA,NA,NA,NA,2.626,NA
Bioresource Technology,09608524,2.449,2.467,NA,NA,NA,NA,NA
BioRisk,13132644,NA,NA,NA,NA,NA,2.467,NA
BioScience,00063568,2.197,2.568,2.403,2.325,NA,2.261,2.255
BioSocieties,17458552,NA,2.34,NA,NA,NA,NA,NA
Biotechnology Advances,07349750,5.115,4.01,3.744,3.383,3.195,3.615,3.739
Birth Defects Research Part C - Embryo Today: Reviews,1542975X,NA,NA,NA,NA,NA,NA,2.33
Blake - An Illustrated Quarterly,0160628X,NA,2.485,NA,NA,NA,NA,NA
Blood,00064971,2.356,2.522,2.554,2.559,2.486,2.719,2.83
Blood Reviews,0268960X,2.754,2.299,2.235,2.303,2.122,2.324,NA
BMC Clinical Pharmacology,14726904,NA,2.232,NA,2.861,NA,NA,NA
BMC Medical Physics,17566649,NA,NA,NA,NA,3.869,3.238,NA
BMC Medical Research Methodology,14712288,NA,NA,NA,NA,2.155,NA,NA
BMC Medicine,17417015,2.656,3.071,2.925,2.621,2.731,2.744,2.69
BMJ Quality and Safety,20445415,NA,NA,2.248,2.719,2.62,2.868,2.726
Body and Society,1357034X,NA,2.727,NA,NA,NA,2.222,NA
Bollettino di Storia delle Scienze Matematiche,03924432,NA,2.614,NA,NA,NA,NA,NA
Bone and Joint Journal,20494394,2.18,NA,NA,NA,NA,NA,NA
Bone Research,20954700,NA,NA,NA,NA,NA,2.577,2.871
Borderline Personality Disorder and Emotion Dysregulation,,NA,NA,NA,NA,NA,NA,3.029
Botanical Journal of the Linnean Society,00244074,2.719,NA,NA,NA,NA,NA,2.237
Brain,00068950,3.09,3.176,3.011,2.963,2.767,2.876,2.763
Brain Research Reviews,01650173,3.766,2.927,2.499,NA,NA,NA,NA
Briefings in Bioinformatics,14675463,NA,NA,NA,NA,2.296,NA,NA
Britannia,03256197,NA,NA,NA,NA,NA,NA,2.6
Britannia (Society for the Promotion of Roman Studies),0068113X,3.799,NA,NA,NA,NA,NA,NA
British Accounting Review,08908389,NA,NA,NA,NA,2.18,NA,NA
British Catholic History,20557973,NA,NA,NA,NA,3.304,NA,NA
British Educational Research Journal,01411926,2.323,2.549,NA,NA,NA,NA,NA
British Journal for the History of Science,00070874,NA,NA,NA,2.283,NA,NA,NA
British Journal for the Philosophy of Science,00070882,NA,NA,NA,NA,NA,2.395,NA
British Journal of Anaesthesia,00070912,2.196,2.387,2.383,2.315,2.49,2.185,NA
